ids,clsids,w2clsids,schids,fall,subject,match,score,conf,cog,chn1,eng1,mat1,cog1,female,age,only,rural,migrant,medu,fedu,income,tchfemale,tchadvisor,tchexp,tchedu,tchage,tchrank,hrsize,hrfemale,hrage,hronly,hrrural,hrmigrant,hrmedu,hrfedu,hrincome,schadvisor,schexp,schedu,schage,schrank
119,5,5,2,0,2,0,0.687814198087508,-1.11245639290362,1.35814094543457,1.08774871826172,0.743410491943359,-0.0187202453613281,-1.80362796783447,0,12,0,0,0,12,14,1,1,0,18,16,43,3,39,0.631578947368421,11.9459459459459,0.789473684210526,0.184210526315789,0.351351351351351,13.4210526315789,14.0526315789474,1.07894736842105,0.4,19.6,16,40.8,2.6
120,5,5,2,0,2,1,-0.362200029843955,1.46715263411927,0.692973017692566,0.452124786376953,0.0280532836914063,0.723857116699219,0.322970986366272,1,12,1,0,0,12,9,1,1,0,18,16,43,3,39,0.605263157894737,11.9459459459459,0.763157894736842,0.184210526315789,0.342105263157895,13.4210526315789,14.1842105263158,1.07894736842105,0.4,19.6,16,40.8,2.6
121,5,5,2,0,2,1,0.837816230649145,-1.11245639290362,1.27400696277618,0.293218994140625,0.147279357910156,0.299526977539063,-0.158246994018555,1,12,1,0,0,14,12,1,1,0,18,16,43,3,39,0.605263157894737,11.9459459459459,0.763157894736842,0.184210526315789,0.351351351351351,13.3684210526316,14.1052631578947,1.07894736842105,0.4,19.6,16,40.8,2.6
122,5,5,2,0,2,0,-1.71221832289869,-1.11245639290362,1.14107894897461,-1.93146324157715,-0.806530380249023,-0.973462677001953,0.95974200963974,0,12,0,1,1,9,9,1,1,0,18,16,43,3,39,0.631578947368421,11.9459459459459,0.789473684210526,0.157894736842105,0.324324324324324,13.5,14.1842105263158,1.07894736842105,0.4,19.6,16,40.8,2.6
123,5,5,2,0,2,1,0.687814198087508,0.177348120607824,1.02547097206116,0.611031341552734,0.147279357910156,0.617774200439453,1.03314697742462,1,12,1,0,1,12,12,1,1,0,18,16,43,3,39,0.605263157894737,11.9459459459459,0.763157894736842,0.184210526315789,0.324324324324324,13.4210526315789,14.1052631578947,1.07894736842105,0.4,19.6,16,40.8,2.6
124,5,5,2,0,2,0,0.0878060678409576,1.46715263411927,0.788815021514893,-0.501309967041016,0.624184417724609,0.0873619079589844,-0.0490319989621639,0,12,0,0,0,12,12,1,1,0,18,16,43,3,39,0.631578947368421,11.9459459459459,0.789473684210526,0.184210526315789,0.351351351351351,13.4210526315789,14.1052631578947,1.07894736842105,0.4,19.6,16,40.8,2.6
126,5,5,2,0,2,1,1.13782029577242,0.177348120607824,1.79829800128937,1.08774871826172,0.624184417724609,0.936021423339844,0.798290014266968,1,12,1,0,0,16,16,1,1,0,18,16,43,3,39,0.605263157894737,11.9459459459459,0.763157894736842,0.184210526315789,0.351351351351351,13.3157894736842,14,1.07894736842105,0.4,19.6,16,40.8,2.6
127,5,5,2,0,2,0,0.53781216552587,0.177348120607824,1.66935002803803,0.611031341552734,0.385732269287109,0.723857116699219,0.93816602230072,0,12,1,0,0,14,16,1,1,0,18,16,43,3,39,0.631578947368421,11.9459459459459,0.763157894736842,0.184210526315789,0.351351351351351,13.3684210526316,14,1.07894736842105,0.4,19.6,16,40.8,2.6
128,5,5,2,0,2,1,-1.56221629033706,-1.11245639290362,0.0208880007266998,-2.09036903381348,-1.04498291015625,-2.88294677734375,-0.783733010292053,1,12,1,0,0,12,14,1,1,0,18,16,43,3,39,0.605263157894737,11.9473684210526,0.763157894736842,0.184210526315789,0.351351351351351,13.4210526315789,14.0526315789474,1.07894736842105,0.4,19.6,16,40.8,2.6
129,5,5,2,0,2,0,-0.06219596472068,-1.11245639290362,0.39886799454689,-0.0245925903320313,0.385732269287109,0.511692047119141,0.200613006949425,0,11,1,0,1,12,16,1,1,0,18,16,43,3,39,0.631578947368421,11.972972972973,0.763157894736842,0.184210526315789,0.324324324324324,13.4210526315789,14,1.07894736842105,0.4,19.6,16,40.8,2.6
131,5,5,2,0,2,1,1.13782029577242,-1.11245639290362,0.458855986595154,0.611031341552734,0.385732269287109,0.511692047119141,1.38371896743774,1,12,0,1,1,12,12,1,1,0,18,16,43,3,39,0.605263157894737,11.9459459459459,0.789473684210526,0.157894736842105,0.324324324324324,13.4210526315789,14.1052631578947,1.07894736842105,0.4,19.6,16,40.8,2.6
132,5,5,2,0,2,1,0.387810132964233,1.46715263411927,0.834662020206451,0.134313201904297,-0.448851776123047,-2.67078170776367,0.860086977481842,1,12,1,0,0,12,16,1,1,0,18,16,43,3,39,0.605263157894737,11.9459459459459,0.763157894736842,0.184210526315789,0.351351351351351,13.4210526315789,14,1.07894736842105,0.4,19.6,16,40.8,2.6
133,5,5,2,0,2,1,0.687814198087508,0.177348120607824,0.430772989988327,-0.342404174804688,0.624184417724609,0.0873619079589844,0.536032974720001,1,12,1,0,0,16,19,1,1,0,18,16,43,3,39,0.605263157894737,11.9459459459459,0.763157894736842,0.184210526315789,0.351351351351351,13.3157894736842,13.9210526315789,1.07894736842105,0.4,19.6,16,40.8,2.6
134,5,5,2,0,2,1,-0.812206127528868,0.177348120607824,0.374399989843369,-0.183498382568359,0.385732269287109,-1.29170989990234,0.483642011880875,1,12,1,0,0,12,19,1,1,0,18,16,43,3,39,0.605263157894737,11.9459459459459,0.763157894736842,0.184210526315789,0.351351351351351,13.4210526315789,13.9210526315789,1.07894736842105,0.4,19.6,16,40.8,2.6
