ids,clsids,w2clsids,schids,fall,subject,match,score,conf,cog,chn1,eng1,mat1,cog1,female,age,only,rural,migrant,medu,fedu,income,tchfemale,tchadvisor,tchexp,tchedu,tchage,tchrank,hrsize,hrfemale,hrage,hronly,hrrural,hrmigrant,hrmedu,hrfedu,hrincome,schadvisor,schexp,schedu,schage,schrank
119,5,5,2,0,3,0,0.407506004045272,-0.924609553733425,1.35814094543457,1.08774871826172,0.743410491943359,-0.0187202453613281,-1.80362796783447,0,12,0,0,0,12,14,1,1,1,5,16,28,1,39,0.631578947368421,11.9459459459459,0.789473684210526,0.184210526315789,0.351351351351351,13.4210526315789,14.0526315789474,1.07894736842105,0.2,22.2,16,43.8,3
120,5,5,2,0,3,1,0.490013392518635,0.132087079104775,0.692973017692566,0.452124786376953,0.0280532836914063,0.723857116699219,0.322970986366272,1,12,1,0,0,12,9,1,1,1,5,16,28,1,39,0.605263157894737,11.9459459459459,0.763157894736842,0.184210526315789,0.342105263157895,13.4210526315789,14.1842105263158,1.07894736842105,0.2,22.2,16,43.8,3
121,5,5,2,0,3,1,-0.74759743458182,-1.98130618657163,1.27400696277618,0.293218994140625,0.147279357910156,0.299526977539063,-0.158246994018555,1,12,1,0,0,14,12,1,1,1,5,16,28,1,39,0.605263157894737,11.9459459459459,0.763157894736842,0.184210526315789,0.351351351351351,13.3684210526316,14.1052631578947,1.07894736842105,0.2,22.2,16,43.8,3
122,5,5,2,0,3,0,-1.242641765422,-0.924609553733425,1.14107894897461,-1.93146324157715,-0.806530380249023,-0.973462677001953,0.95974200963974,0,12,0,1,1,9,9,1,1,1,5,16,28,1,39,0.631578947368421,11.9459459459459,0.789473684210526,0.157894736842105,0.324324324324324,13.5,14.1842105263158,1.07894736842105,0.2,22.2,16,43.8,3
123,5,5,2,0,3,1,0.407506004045272,1.18878371194298,1.02547097206116,0.611031341552734,0.147279357910156,0.617774200439453,1.03314697742462,1,12,1,0,1,12,12,1,1,1,5,16,28,1,39,0.605263157894737,11.9459459459459,0.763157894736842,0.184210526315789,0.324324324324324,13.4210526315789,14.1052631578947,1.07894736842105,0.2,22.2,16,43.8,3
124,5,5,2,0,3,0,0.737535557938726,1.18878371194298,0.788815021514893,-0.501309967041016,0.624184417724609,0.0873619079589844,-0.0490319989621639,0,12,0,0,0,12,12,1,1,1,5,16,28,1,39,0.631578947368421,11.9459459459459,0.789473684210526,0.184210526315789,0.351351351351351,13.4210526315789,14.1052631578947,1.07894736842105,0.2,22.2,16,43.8,3
126,5,5,2,0,3,1,0.985057723358817,1.18878371194298,1.79829800128937,1.08774871826172,0.624184417724609,0.936021423339844,0.798290014266968,1,12,1,0,0,16,16,1,1,1,5,16,28,1,39,0.605263157894737,11.9459459459459,0.763157894736842,0.184210526315789,0.351351351351351,13.3157894736842,14,1.07894736842105,0.2,22.2,16,43.8,3
127,5,5,2,0,3,0,0.985057723358817,0.132087079104775,1.66935002803803,0.611031341552734,0.385732269287109,0.723857116699219,0.93816602230072,0,12,1,0,0,14,16,1,1,1,5,16,28,1,39,0.631578947368421,11.9459459459459,0.763157894736842,0.184210526315789,0.351351351351351,13.3684210526316,14,1.07894736842105,0.2,22.2,16,43.8,3
128,5,5,2,0,3,1,-1.07762698847527,0.132087079104775,0.0208880007266998,-2.09036903381348,-1.04498291015625,-2.88294677734375,-0.783733010292053,1,12,1,0,0,12,14,1,1,1,5,16,28,1,39,0.605263157894737,11.9473684210526,0.763157894736842,0.184210526315789,0.351351351351351,13.4210526315789,14.0526315789474,1.07894736842105,0.2,22.2,16,43.8,3
129,5,5,2,0,3,0,0.490013392518635,0.132087079104775,0.39886799454689,-0.0245925903320313,0.385732269287109,0.511692047119141,0.200613006949425,0,11,1,0,1,12,16,1,1,1,5,16,28,1,39,0.631578947368421,11.972972972973,0.763157894736842,0.184210526315789,0.324324324324324,13.4210526315789,14,1.07894736842105,0.2,22.2,16,43.8,3
